idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"63300045";;"397565";"1939775";"27572";"33036";"BAZAS";"1997-12-01";"Haoua";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.20438308906465899";"44.4295465417529982";
"12000067";;"432052";"6405823";"2154";"33226";"LANGOIRAN";"2014-02-27";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.383299999999999974";"44.699860000000001";
"63300358";;"399295.700000000012";"1955396.25";"27572";"33463";"SAINT-PIERRE-D'AURILLAC";"1986-04-26";"Mauléon";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"4";"Kilomètre";"-0.188970402652184011";"44.570455406977203";
"63300044";;"397634";"1939820";"27572";"33036";"BAZAS";"1996-01-11";"Haoua";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.203535863161450004";"44.4299710596222965";
"10200928";;"-0.58167000000000002";"45.0421800000000019";"4326";"33067";"BOURG";"2024-02-25";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"11";"Quinzaine";"3";"Hectomètre";"-0.58167000000000002";"45.0421800000000019";
"63300195";;"410016";"1956273";"27572";"33352";"LA REOLE";"1966-01-01";"L'Ilet";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.0544980749106099005";"44.5813543783753019";
"63300196";;"410252";"1956299";"27572";"33352";"LA REOLE";"1980-01-01";"L'Ilet";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.0515396503760826019";"44.5816526331436975";
"10200178";;"444622.46875";"6375442.5";"2154";"33036";"BAZAS";"2012-04-01";;"2";"Chute de blocs / Eboulement";"1";"Fort";"3";"Saison";"3";"Hectomètre";"-0.209170594811439514";"44.4313201904296875";
"63300256";;"413933";"1955408";"27572";"33291";"MONTAGOUDIN";"1970-01-01";"La Peyrière";"2";"Chute de blocs / Eboulement";"1";"Fort";"5";"Décennie";"3";"Hectomètre";"-0.00490555310516849977";"44.5746392951451966";
"63300043";;"397596";"1939807";"27572";"33036";"BAZAS";"1993-12-19";"Haoua";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.204007232913925002";"44.4298431700955021";
"63300260";;"413917";"1949139";"27572";"33306";"NOAILLAC";"2000-12-01";"Moulin du Haut";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.00275886030477760997";"44.5182813946477012";
"63300178";;"366565";"2011865";"27572";"33182";"GAURIAC";"1900-01-01";"Poyanne";"2";"Chute de blocs / Eboulement";"1";"Fort";"8";"Récurrent";"3";"Hectomètre";"-0.627264175266927015";"45.0677676689078979";
"63300171";;"366900";"2011315";"27572";"33182";"GAURIAC";"1993-10-19";"La Mayanne";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.622752001411894018";"45.0629373667089013";
"63300201";;"410121";"1956299";"27572";"33352";"LA REOLE";"1982-05-01";"L'Ilet";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.0531873529815925991";"44.5816168207752028";
"63300042";;"397573";"1939781";"27572";"33036";"BAZAS";"1991-01-26";"Haoua";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.20428517815327199";"44.4296027956346009";
"63300041";;"368210";"2009970";"27572";"33035";"BAYON-SUR-GIRONDE";"2001-01-01";"La Reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.605497564992307002";"45.0512897594324002";
"20300232";;"375510";"1976822";"27572";"33349";"QUINSAC";"1984-01-01";"Les Clottes";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.497753600000000018";"44.755749999999999";
"63300100";;"378604";"1973731";"27572";"33084";"CAMBES";"1990-02-01";"La Tuilière";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.45733632639775601";"44.7289626475963971";
"63300037";;"368263";"2009970";"27572";"33035";"BAYON-SUR-GIRONDE";"1996-01-01";"La Reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.604825477601710015";"45.0513076023579018";
"63300204";;"410462";"1956457";"27572";"33352";"LA REOLE";"1998-01-22";"Le Priou";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.0489586417382640998";"44.5831302929990017";
"63300035";;"367830";"2010254";"27572";"33035";"BAYON-SUR-GIRONDE";"1995-02-24";"Roque Pigeon";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.610451416312427053";"45.0537145374222021";
"20300320";;"394977.5";"1957787.5";"27572";"33543";"VERDELAIS";"1998-03-01";"le luc";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.244254930000000009";"44.5906939999999992";
"63300206";;"411361";"1956138";"27572";"33352";"LA REOLE";"2003-01-01";"Rue Lamar";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.0375294919114960018";"44.5805075435079985";
"63300068";;"370005";"2008840";"27572";"33067";"BOURG";"1988-02-01";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.582202622186673957";"45.0417343022217977";
"10200925";;"-0.585899999999999976";"45.042110000000001";"4326";"33067";"BOURG";"2024-03-02";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.585899999999999976";"45.042110000000001";
"63300210";;"384218";"1970183";"27572";"33226";"LANGOIRAN";"1910-01-01";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.384998082934339014";"44.6988433922536004";
"63300034";;"368290";"2009938";"27572";"33035";"BAYON-SUR-GIRONDE";"1994-01-01";"La Reuille";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.604467898886305033";"45.0510290473408972";
"63300211";;"384202";"1970224";"27572";"33226";"LANGOIRAN";"1920-01-01";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.385217626191176998";"44.6992069373592003";
"63300212";;"384176";"1970255";"27572";"33226";"LANGOIRAN";"1931-03-01";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.385558830885029014";"44.699477482221603";
"63300213";;"384135";"1970276";"27572";"33226";"LANGOIRAN";"1931-03-01";"Le Pied du Château";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.386084710188865976";"44.6996534678998003";
"20300175";;"383047.299999999988";"1971330.39999999991";"27572";"33226";"LANGOIRAN";"1988-03-01";"Le Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.400259099999999979";"44.7087860000000035";
"22300035";"C";"382674.987792968983";"1998219.97070312011";"27562";"33016";"ASQUES";"1983-01-01";"ASQUES";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"5";"Commune";"-0.416828875753759986";"44.9503821418185012";
"63300351";;"409781.5";"1981978";"27572";"33460";"SAINT-PEY-DE-CASTETS";"1997-01-01";"Côte de St Pey";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.0673353103945329989";"44.8123701073415006";
