CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
33121;80.0;183.0;21430.0;;;;;;;;;;;;;;;;;;;;;;;;
33122;7190.0;17595.0;26640.0;70.0;5.0;;;6.0;;;;5.0;12.0;71.9;65.7;2.1;4.1;35.8;8.6;2.3;1.1;0.7;0.5;-18.6;15950.0;43500.0;2.7
33123;968.0;2583.0;20190.0;43.0;11.0;;;;;;;;;80.2;69.9;4.5;5.8;20.9;5.3;6.1;3.2;1.8;1.1;-12.5;12410.0;31680.0;2.6
33124;282.0;740.0;19480.0;;;;;;;;;;;;;;;;;;;;;;;;
33125;848.0;2177.0;20710.0;48.0;10.0;;;;;;;;;74.7;64.6;3.4;6.7;27.6;6.1;5.1;2.4;1.9;0.8;-13.5;12600.0;31220.0;2.5
33126;319.0;848.0;20000.0;;;;;;;;;;;;;;;;;;;;;;;;
33127;87.0;210.0;18030.0;;;;;;;;;;;;;;;;;;;;;;;;
33128;278.0;669.0;20190.0;;;;;;;;;;;;;;;;;;;;;;;;
33129;67.0;158.0;20860.0;;;;;;;;;;;;;;;;;;;;;;;;
33130;412.0;1098.0;21480.0;;;;;;;;;;;;;;;;;;;;;;;;
33131;88.0;216.0;21220.0;;;;;;;;;;;;;;;;;;;;;;;;
33132;216.0;524.0;22020.0;;;;;;;;;;;;;;;;;;;;;;;;
33133;;;;;;;;;;;;;;;;;;;;;;;;;;;
33134;116.0;268.0;18940.0;;;;;;;;;;;;;;;;;;;;;;;;
33135;54.0;129.0;21010.0;;;;;;;;;;;;;;;;;;;;;;;;
33136;109.0;263.0;18090.0;;;;;;;;;;;;;;;;;;;;;;;;
33137;93.0;219.0;17340.0;;;;;;;;;;;;;;;;;;;;;;;;
33138;3786.0;8286.0;18790.0;39.0;17.0;;21.0;22.0;18.0;;;8.0;31.0;62.3;54.4;3.5;4.4;35.7;7.6;7.8;2.5;3.3;2.0;-13.4;10730.0;31120.0;2.9
33139;37.0;102.0;16380.0;;;;;;;;;;;;;;;;;;;;;;;;
33140;2131.0;4853.0;20210.0;45.0;12.0;;;;;;;;21.0;72.4;63.6;3.6;5.2;29.1;6.0;6.1;2.4;2.1;1.6;-13.6;11890.0;32340.0;2.7
33141;260.0;703.0;22920.0;;;;;;;;;;;;;;;;;;;;;;;;
33142;579.0;1582.0;20500.0;;;;;;;;;;;;;;;;;;;;;;;;
33143;1030.0;2624.0;21150.0;51.0;11.0;;;;;;;;;77.8;70.7;3.8;3.3;24.7;6.0;5.6;2.8;1.7;1.1;-14.1;12490.0;33050.0;2.6
33144;328.0;792.0;19450.0;;;;;;;;;;;;;;;;;;;;;;;;
33145;236.0;666.0;23440.0;;;;;;;;;;;;;;;;;;;;;;;;
33146;830.0;2353.0;19800.0;42.0;13.0;;;;;;;;;77.5;69.8;4.1;3.6;21.3;6.8;7.0;3.9;2.1;1.0;-12.6;11850.0;30450.0;2.6
33147;190.0;470.0;20260.0;;;;;;;;;;;;;;;;;;;;;;;;
33148;;;;;;;;;;;;;;;;;;;;;;;;;;;
33149;62.0;165.0;21730.0;;;;;;;;;;;;;;;;;;;;;;;;
33150;112.0;257.0;20160.0;;;;;;;;;;;;;;;;;;;;;;;;
33151;383.0;930.0;17900.0;;;;;;;;;;;;;;;;;;;;;;;;
33152;58.0;125.0;22050.0;;;;;;;;;;;;;;;;;;;;;;;;
